date,gold_price
1970-01-01,36.02
1970-04-01,35.95
1970-07-01,35.44
1970-10-01,37.44
1971-01-01,38.07
1971-04-01,39.68
1971-07-01,40.95
1971-10-01,42.73
1972-01-01,46.50
1972-04-01,50.40
1972-07-01,65.70
1972-10-01,63.84
1973-01-01,65.18
1973-04-01,90.50
1973-07-01,105.00
1973-10-01,100.00
1974-01-01,150.00
1974-04-01,172.00
1974-07-01,154.00
1974-10-01,183.90
1975-01-01,176.80
1975-04-01,170.25
1975-07-01,163.40
1975-10-01,140.00
1976-01-01,130.45
1976-04-01,127.50
1976-07-01,113.00
1976-10-01,127.10
1977-01-01,147.80
1977-04-01,143.45
1977-07-01,143.70
1977-10-01,160.00
1978-01-01,170.40
1978-04-01,180.05
1978-07-01,206.85
1978-10-01,230.30
1979-01-01,239.00
1979-04-01,250.50
1979-07-01,300.20
1979-10-01,391.75
1980-01-01,653.00
1980-04-01,518.00
1980-07-01,627.00
1980-10-01,596.50
1981-01-01,508.50
1981-04-01,481.00
1981-07-01,410.50
1981-10-01,425.75
1982-01-01,361.00
1982-04-01,336.00
1982-07-01,424.00
1982-10-01,415.00
1983-01-01,478.50
1983-04-01,432.00
1983-07-01,412.00
1983-10-01,381.50
1984-01-01,369.00
1984-04-01,381.25
1984-07-01,344.75
1984-10-01,339.00
1985-01-01,302.20
1985-04-01,321.20
1985-07-01,315.80
1985-10-01,325.50
1986-01-01,345.75
1986-04-01,343.75
1986-07-01,375.75
1986-10-01,391.75
1987-01-01,408.30
1987-04-01,454.50
1987-07-01,462.00
1987-10-01,465.00
1988-01-01,442.95
1988-04-01,451.50
1988-07-01,422.40
1988-10-01,410.00
1989-01-01,387.75
1989-04-01,384.50
1989-07-01,367.00
1989-10-01,403.50
1990-01-01,365.40
1990-04-01,362.50
1990-07-01,383.95
1990-10-01,381.60
1991-01-01,363.75
1991-04-01,357.50
1991-07-01,349.30
1991-10-01,354.60
1992-01-01,351.30
1992-04-01,337.30
1992-07-01,343.50
1992-10-01,332.90
1993-01-01,329.00
1993-04-01,385.30
1993-07-01,406.00
1993-10-01,373.90
1994-01-01,384.00
1994-04-01,381.50
1994-07-01,385.50
1994-10-01,383.25
1995-01-01,379.30
1995-04-01,392.25
1995-07-01,383.80
1995-10-01,387.80
1996-01-01,399.00
1996-04-01,392.85
1996-07-01,382.00
1996-10-01,368.00
1997-01-01,347.50
1997-04-01,340.50
1997-07-01,325.00
1997-10-01,278.50
1998-01-01,294.10
1998-04-01,310.50
1998-07-01,284.30
1998-10-01,294.90
1999-01-01,280.00
1999-04-01,279.75
1999-07-01,256.10
1999-10-01,290.20
2000-01-01,278.40
2000-04-01,275.75
2000-07-01,277.25
2000-10-01,273.50
2001-01-01,266.70
2001-04-01,264.50
2001-07-01,278.75
2001-10-01,279.50
2002-01-01,300.75
2002-04-01,302.50
2002-07-01,314.80
2002-10-01,346.75
2003-01-01,336.00
2003-04-01,346.00
2003-07-01,385.90
2003-10-01,417.25
2004-01-01,398.00
2004-04-01,388.00
2004-07-01,412.75
2004-10-01,435.60
2005-01-01,427.50
2005-04-01,434.00
2005-07-01,474.00
2005-10-01,513.00
2006-01-01,565.50
2006-04-01,612.50
2006-07-01,634.20
2006-10-01,632.00
2007-01-01,650.50
2007-04-01,665.50
2007-07-01,743.00
2007-10-01,833.75
2008-01-01,930.25
2008-04-01,915.50
2008-07-01,770.00
2008-10-01,874.50
2009-01-01,919.50
2009-04-01,939.50
2009-07-01,955.50
2009-10-01,1104.00
2010-01-01,1115.50
2010-04-01,1178.00
2010-07-01,1307.00
2010-10-01,1405.50
2011-01-01,1439.00
2011-04-01,1530.00
2011-07-01,1826.00
2011-10-01,1531.00
2012-01-01,1738.00
2012-04-01,1598.00
2012-07-01,1776.00
2012-10-01,1657.50
2013-01-01,1598.25
2013-04-01,1192.75
2013-07-01,1327.00
2013-10-01,1204.50
2014-01-01,1284.25
2014-04-01,1315.00
2014-07-01,1216.50
2014-10-01,1184.25
2015-01-01,1183.25
2015-04-01,1175.00
2015-07-01,1069.50
2015-10-01,1060.00
2016-01-01,1277.50
2016-04-01,1318.75
2016-07-01,1313.00
2016-10-01,1145.90
2017-01-01,1244.85
2017-04-01,1242.25
2017-07-01,1269.50
2017-10-01,1291.00
2018-01-01,1324.00
2018-04-01,1252.50
2018-07-01,1198.50
2018-10-01,1279.00
2019-01-01,1289.20
2019-04-01,1413.50
2019-07-01,1517.10
2019-10-01,1513.80
2020-01-01,1584.20
2020-04-01,1781.00
2020-07-01,1964.90
2020-10-01,1887.60
2021-01-01,1707.70
2021-04-01,1770.11
2021-07-01,1763.15
2021-10-01,1798.10
2022-01-01,1909.85
2022-04-01,1817.95
2022-07-01,1736.20
2022-10-01,1805.20
2023-01-01,1867.20
2023-04-01,2016.85
2023-07-01,1964.30
2023-10-01,2048.30
2024-01-01,2107.50
2024-04-01,2391.20
2024-07-01,2483.55
2024-10-01,2612.80 
2025-01-01,2797.46
2025-04-01,3131.54
